trace_id,student_id,lat,lng,accuracy,timestamp,accel_x,accel_y,accel_z,is_spoofed,ground_truth_label
trace_legit_1,STUDENT_LEGIT_1,14.599525,120.984222,6.35,2026-08-02T03:46:06.626Z,-0.09,0.06,9.51,false,LEGITIMATE_WALK
trace_legit_2,STUDENT_LEGIT_1,14.599548,120.984242,5.32,2026-08-02T03:46:18.623Z,0.17,-0.18,10.00,false,LEGITIMATE_WALK
trace_legit_3,STUDENT_LEGIT_1,14.599566,120.984260,4.96,2026-08-02T03:46:28.690Z,-0.07,0.14,9.53,false,LEGITIMATE_WALK
trace_legit_4,STUDENT_LEGIT_1,14.599587,120.984284,7.07,2026-08-02T03:46:39.423Z,0.01,-0.09,10.04,false,LEGITIMATE_WALK
trace_legit_5,STUDENT_LEGIT_1,14.599602,120.984300,5.51,2026-08-02T03:46:50.673Z,-0.05,0.10,10.02,false,LEGITIMATE_WALK
trace_legit_6,STUDENT_LEGIT_1,14.599625,120.984321,6.98,2026-08-02T03:47:02.035Z,0.13,0.08,9.90,false,LEGITIMATE_WALK
trace_legit_7,STUDENT_LEGIT_1,14.599642,120.984341,7.41,2026-08-02T03:47:13.723Z,0.19,-0.04,10.01,false,LEGITIMATE_WALK
trace_legit_8,STUDENT_LEGIT_1,14.599659,120.984361,6.51,2026-08-02T03:47:23.997Z,0.08,0.14,9.75,false,LEGITIMATE_WALK
trace_legit_9,STUDENT_LEGIT_1,14.599679,120.984377,5.15,2026-08-02T03:47:34.040Z,-0.19,-0.05,9.73,false,LEGITIMATE_WALK
trace_legit_10,STUDENT_LEGIT_1,14.599704,120.984401,5.93,2026-08-02T03:47:44.203Z,-0.13,0.15,9.64,false,LEGITIMATE_WALK
trace_legit_11,STUDENT_LEGIT_1,14.599720,120.984424,7.12,2026-08-02T03:47:55.432Z,-0.10,-0.16,9.95,false,LEGITIMATE_WALK
trace_legit_12,STUDENT_LEGIT_1,14.599743,120.984445,4.67,2026-08-02T03:48:06.518Z,0.14,-0.05,9.78,false,LEGITIMATE_WALK
trace_legit_13,STUDENT_LEGIT_1,14.599766,120.984469,6.00,2026-08-02T03:48:18.045Z,-0.03,-0.05,9.52,false,LEGITIMATE_WALK
trace_legit_14,STUDENT_LEGIT_1,14.599786,120.984493,5.54,2026-08-02T03:48:28.606Z,-0.13,0.18,10.04,false,LEGITIMATE_WALK
trace_legit_15,STUDENT_LEGIT_1,14.599803,120.984512,7.22,2026-08-02T03:48:39.261Z,-0.19,-0.01,9.88,false,LEGITIMATE_WALK
trace_legit_16,STUDENT_LEGIT_1,14.599822,120.984529,4.87,2026-08-02T03:48:51.228Z,0.17,-0.02,9.53,false,LEGITIMATE_WALK
trace_legit_17,STUDENT_LEGIT_1,14.599842,120.984548,4.98,2026-08-02T03:49:01.433Z,-0.12,-0.02,9.65,false,LEGITIMATE_WALK
trace_legit_18,STUDENT_LEGIT_1,14.599860,120.984564,6.07,2026-08-02T03:49:12.004Z,-0.04,-0.04,9.77,false,LEGITIMATE_WALK
trace_legit_19,STUDENT_LEGIT_1,14.599878,120.984587,6.72,2026-08-02T03:49:22.581Z,-0.12,-0.11,9.71,false,LEGITIMATE_WALK
trace_legit_20,STUDENT_LEGIT_1,14.599896,120.984603,5.16,2026-08-02T03:49:33.175Z,-0.14,-0.07,10.09,false,LEGITIMATE_WALK
trace_spoof_1,STUDENT_SPOOF_1,14.599500,120.984200,5.00,2026-08-02T03:55:54.895Z,0.1,0.1,9.81,false,LEGITIMATE_START
trace_spoof_2,STUDENT_SPOOF_1,14.649500,121.034200,5.00,2026-08-02T03:55:59.895Z,0.0,0.0,9.81,true,TELEPORT_ATTACK
trace_static_1,STUDENT_SPOOF_2,14.600500,120.985200,0.10,2026-08-02T04:12:39.895Z,0.00,0.00,9.81,true,STATIC_MOCK_LOCATION
trace_static_2,STUDENT_SPOOF_2,14.600500,120.985200,0.10,2026-08-02T04:12:44.895Z,0.00,0.00,9.81,true,STATIC_MOCK_LOCATION
trace_static_3,STUDENT_SPOOF_2,14.600500,120.985200,0.10,2026-08-02T04:12:49.895Z,0.00,0.00,9.81,true,STATIC_MOCK_LOCATION
trace_static_4,STUDENT_SPOOF_2,14.600500,120.985200,0.10,2026-08-02T04:12:54.895Z,0.00,0.00,9.81,true,STATIC_MOCK_LOCATION
trace_static_5,STUDENT_SPOOF_2,14.600500,120.985200,0.10,2026-08-02T04:12:59.895Z,0.00,0.00,9.81,true,STATIC_MOCK_LOCATION
trace_static_6,STUDENT_SPOOF_2,14.600500,120.985200,0.10,2026-08-02T04:13:04.895Z,0.00,0.00,9.81,true,STATIC_MOCK_LOCATION
trace_static_7,STUDENT_SPOOF_2,14.600500,120.985200,0.10,2026-08-02T04:13:09.895Z,0.00,0.00,9.81,true,STATIC_MOCK_LOCATION
trace_static_8,STUDENT_SPOOF_2,14.600500,120.985200,0.10,2026-08-02T04:13:14.895Z,0.00,0.00,9.81,true,STATIC_MOCK_LOCATION
trace_static_9,STUDENT_SPOOF_2,14.600500,120.985200,0.10,2026-08-02T04:13:19.895Z,0.00,0.00,9.81,true,STATIC_MOCK_LOCATION
trace_static_10,STUDENT_SPOOF_2,14.600500,120.985200,0.10,2026-08-02T04:13:24.895Z,0.00,0.00,9.81,true,STATIC_MOCK_LOCATION
trace_script_1,STUDENT_SPOOF_3,14.599500,120.984200,1.00,2026-08-02T04:29:14.895Z,0.00,0.00,9.81,false,INITIAL
trace_script_2,STUDENT_SPOOF_3,14.601500,120.986200,1.00,2026-08-02T04:29:04.895Z,0.00,0.00,9.81,true,OUT_OF_ORDER_TIMESTAMP
